gamma,lambda,tau_r,D_c,seed,copter_mode,rover_start_r,rover_start_c,copter_start_r,copter_start_c,max_k,complete,fail,k_final,which_phi,epochs,avg_expanded,avg_Phi,avg_G,avg_C_r,avg_C_c,avg_I,avg_u_r,avg_u_c,final_Phi,final_G,rover_path_length,copter_path_length,runtime_s
0,0,0.3,10,15,utility,2,1,1,6,300,False,False,304,,38,60.60526315789474,4.283668287003024,-0.07599656593931503,0.05490169258435834,0.3131446035950438,2.9064432352949,-0.07599656593931503,4.283668287003024,-0.0014064719658658917,-0.0014064719658658917,116.89949493661166,9.071067811865476,1.7361925420118496
0,0,0.3,10,16,utility,4,9,4,1,300,False,True,8,,1,201.0,89.50236908923875,-20.72326583694641,1.3862943611198906,9.65685424949238,73.48375661745678,-20.72326583694641,89.50236908923875,89.50236908923875,-20.72326583694641,2.0,6.656854249492381,0.3320001660613343
0,0,0.3,10,17,utility,8,2,1,1,300,False,False,304,,38,42.36842105263158,4.1881142468347266,-0.2371280517584149,0.0691353923218693,0.3240449604995989,2.9501615323954344,-0.2371280517584149,4.1881142468347266,-0.21755637383863638,-0.21755637383863638,140.92388155425107,9.485281374238571,1.5534795420244336
0,0,0.3,10,18,utility,7,2,4,1,300,False,False,304,,38,52.05263157894737,4.527470262297241,-0.09613188198600837,0.06389265666911081,0.3129716375524255,3.0824014295221667,-0.09613188198600837,4.527470262297241,-0.0799598204343099,-0.0799598204343099,115.65685424949238,9.65685424949238,1.6649278328986838
0,0,0.3,10,19,utility,4,0,9,3,300,False,True,8,,1,183.0,83.79670822010256,-20.72326583694641,2.0794415416798357,9.65685424949238,69.67998270469931,-20.72326583694641,83.79670822010256,83.79670822010256,-20.72326583694641,3.0,6.65685424949238,0.33143491693772376
0,0,0.3,10,20,utility,3,0,4,5,300,False,False,304,,38,96.57894736842105,14.416447480196702,-0.25878796244896823,0.07646551579193368,0.33307511182874683,9.783490295097119,-0.25878796244896823,14.416447480196702,17.37820433192498,-0.247041391920435,115.24264068711929,9.65685424949238,3.1670077089220285
0,0,0.3,10,21,utility,9,4,7,0,300,False,False,304,,38,107.57894736842105,7.343682393026364,-0.0965289747076633,0.05472214583367989,0.33734557657002,4.960140911822685,-0.0965289747076633,7.343682393026364,2.8978030053759345,-3.33066907387547e-16,114.41421356237309,9.65685424949238,3.2925930420169607
0,0,0.3,10,22,utility,3,6,4,4,300,False,False,304,,38,115.76315789473684,13.031736131466756,-0.3577955307610668,0.022592918863142814,0.2650281003122494,8.926354441485222,-0.3577955307610668,13.031736131466756,12.884373473030603,-0.34577665230084415,117.31370849898477,9.071067811865476,3.558321333024651
0,0,0.3,10,23,utility,0,0,0,0,300,False,False,304,,38,32.921052631578945,3.045915485972395,-0.1697796160661414,0.03464514439381341,0.3535257473739521,2.1437967346923585,-0.1697796160661414,3.045915485972395,-0.15561323595052437,-0.15561323595052437,115.24264068711929,8.82842712474619,1.4494793749181554
0,0,0.3,10,24,utility,4,6,6,8,300,False,False,304,,38,16.31578947368421,2.9211107063977737,-0.0976238083557398,0.021131236193484476,0.25412774340769423,2.012489676502339,-0.0976238083557398,2.9211107063977737,-0.023781902399939225,-0.023781902399939225,124.76955262170048,6.65685424949238,1.1587297499645501
0,0,0.3,10,25,utility,0,6,4,8,300,False,False,304,,38,31.763157894736842,2.897250948908302,-1.1543097776234514,0.06906288569777852,0.34901067170937816,2.7010404843545,-1.1543097776234514,2.897250948908302,-0.6235369806789676,-0.6235369806789676,112.24264068711929,9.656854249492381,1.5683207080001011
0,0,0.3,10,26,utility,1,9,9,8,300,False,False,304,,38,25.0,1.4310377782885768,-0.8187057161686419,0.06828621635498763,0.2591629463837704,1.4998289963048144,-0.8187057161686419,1.4310377782885768,-0.2685746018781687,-0.2685746018781687,112.0,6.242640687119285,1.1426371249835938
0,0,0.3,10,27,utility,0,5,5,2,300,False,False,304,,38,51.86842105263158,4.141584996097822,-0.39654380703517483,0.05474297027165196,0.3285600361641729,3.0254192020886634,-0.39654380703517483,4.141584996097822,-0.38425201830963907,-0.38425201830963907,115.24264068711929,9.485281374238571,1.7262663749279454
0,0,0.3,10,28,utility,7,4,4,0,300,False,False,304,,38,149.26315789473685,13.298846711025151,-0.14907227687793592,0.05472214583367989,0.3131446035950438,8.965279325268725,-0.14907227687793592,13.298846711025151,-0.012194936048895336,-0.012194936048895336,114.41421356237309,9.071067811865476,3.911976874922402
0,0,0.3,10,29,utility,0,1,8,2,300,False,False,304,,38,85.34210526315789,12.062045531073998,-0.11004688562391142,0.05547654470721628,0.338110314804823,8.114728277798612,-0.11004688562391142,12.062045531073998,-0.07547847325154623,-0.07547847325154623,115.24264068711929,9.242640687119284,3.0632071669679135
0,0,0.3,10,30,utility,5,1,7,2,300,False,False,304,,38,124.0,10.534214984806638,-0.08170753875407784,0.02747187661150629,0.32856003616417295,7.077281682373804,-0.08170753875407784,10.534214984806638,8.239456301660672,-0.0591909196848787,114.82842712474618,9.65685424949238,3.6922208330361173
0,0,0.3,15,1,utility,5,4,5,7,300,False,False,304,,38,78.34210526315789,10.248475409752052,-0.3179068207990693,0.035582977926130105,0.4928400542462594,7.044254820367423,-0.3179068207990693,10.248475409752052,-0.30773569370982506,-0.30773569370982506,136.36753236814707,14.899494936611667,3.4588813750306144
0,0,0.3,15,2,utility,8,1,8,4,300,False,False,304,,38,77.15789473684211,8.562655125647122,-0.35102034632301926,0.015463855828309529,0.6412398493760656,5.942450314646763,-0.35102034632301926,8.562655125647122,3.01271119840469,-0.24645372193956977,114.0,14.727922061357859,4.371413166983984
0,0,0.3,15,3,utility,8,4,1,1,300,True,False,16,φ3 (C→D),2,228.5,100.00526493895418,-0.3487078779912398,1.4693954485769263,8.571067811865476,66.90264854463028,-0.3487078779912398,100.00526493895418,88.35341099338534,0.0,8.071067811865476,12.313708498984763,0.9107886250130832
0,0,0.3,15,4,utility,2,3,4,6,300,False,False,304,,38,73.55263157894737,7.531184542594637,-0.25274676637840454,0.03597395840851278,0.4338231940589098,5.189287539315359,-0.25274676637840454,7.531184542594637,-0.017091990805293552,-0.017091990805293552,118.97056274847715,14.485281374238571,2.4119746669894084
0,0,0.3,15,5,utility,8,8,1,4,300,False,False,304,,38,27.68421052631579,4.774487939391255,-0.36769774061604005,0.05472214583367989,0.4464207904962538,3.4281237866715237,-0.36769774061604005,4.774487939391255,-0.32268732722967053,-0.32268732722967053,114.82842712474618,11.899494936611667,1.7222097080666572
0,0,0.3,15,6,utility,7,4,8,2,300,False,False,304,,38,126.02631578947368,14.616612965014996,-0.1704103428676425,0.06547267505795133,0.5223954654467241,9.858015538588427,-0.1704103428676425,14.616612965014996,13.985589729408376,-0.1562110861207797,114.82842712474618,14.727922061357859,4.027737124939449
0,0,0.3,15,7,utility,4,9,5,6,300,False,False,304,,38,105.84210526315789,11.689319469594205,-0.23112652674079723,0.01969650245972368,0.5851205902027431,7.946963997556677,-0.23112652674079723,11.689319469594205,-0.19556678354397491,-0.19556678354397491,114.41421356237309,14.899494936611667,3.967270666034892
0,0,0.3,15,8,utility,4,7,3,3,300,False,False,304,,38,94.94736842105263,12.295185349810096,-0.12299346956589245,0.03366957192735557,0.4663512987299569,8.278785879583998,-0.12299346956589245,12.295185349810096,-0.07488481319549825,-0.07488481319549825,115.24264068711929,14.485281374238571,3.978733083931729
0,0,0.3,15,9,utility,9,6,9,0,300,False,False,304,,38,45.94736842105263,5.603623126586031,-0.1463828041319047,0.05622886929761189,0.5223954654467241,3.8333372871452824,-0.1463828041319047,5.603623126586031,-0.10260985554661717,-0.10260985554661717,118.97056274847715,14.727922061357859,2.0224883750779554
0,0,0.3,15,10,utility,1,1,2,2,300,False,False,304,,38,81.73684210526316,9.777526009348279,-0.09253100316371954,0.032881437896324764,0.5823959552313344,6.580038008341332,-0.09253100316371954,9.777526009348279,-0.07624142950708489,-0.07624142950708489,115.65685424949238,14.727922061357859,4.210873499978334
0,0,0.3,15,11,utility,9,9,8,6,300,False,False,304,,38,65.94736842105263,7.235232086190558,-1.1467948974527427,0.047437352930280785,0.676572226645219,5.588017989095532,-1.1467948974527427,7.235232086190558,-0.1346933109319596,-0.1346933109319596,114.0,14.899494936611667,7.521316249971278
0,0,0.3,15,12,utility,9,8,5,7,300,False,False,304,,38,66.52631578947368,7.76363724263237,-0.15283355966676213,0.055976949948362734,0.6608051970405169,5.277647201532755,-0.15283355966676213,7.76363724263237,-0.06731654987985214,-0.06731654987985214,114.82842712474618,14.899494936611667,4.467793583986349
0,0,0.3,15,13,utility,8,1,5,9,300,False,False,304,,38,70.26315789473684,7.212713035447688,-0.16235675535611185,0.05498416686865041,0.5396064792651488,4.916713193869189,-0.16235675535611185,7.212713035447688,-0.059935629496658024,-0.059935629496658024,125.18376618407356,14.899494936611667,2.5981024580542
0,0,0.3,15,14,utility,3,8,2,1,300,False,False,304,,38,109.10526315789474,12.659920173237074,-0.23193338213619305,0.05481851219713028,0.5191558437199436,8.59456903691551,-0.23193338213619305,12.659920173237074,-0.21691683086624058,-0.21691683086624058,115.24264068711929,14.899494936611667,4.327448458992876
